hunt_code,species,harvest_success,pressure_index,draw_access_score,verified_outfitter_count,cpo_outfitter_count
BI0001,Bison,100.0,1.0,,0,0
BI1000,Bison,100.0,1.0,,30,0
BI6500,Bison,100.0,1.0,,0,0
BI6503,Bison,93.3,1.0,,30,0
BI6504,Bison,100.0,1.0,,30,0
BI6505,Bison,78.6,1.0,,30,0
BI6506,Bison,93.1,1.0,,30,0
BI6509,Bison,66.7,1.0,,30,0
BI6516,Bison,100.0,1.0,,30,0
BI6527,Bison,0.0,0.8333,,52,0
BI6528,Bison,100.0,1.0,,30,0
BI6529,Bison,80.0,1.0,,30,0
BI6531,Bison,85.7,0.875,,30,0
BI6532,Bison,100.0,0.75,,30,0
BI6534,Bison,100.0,0.8,,30,0
BI6535,Bison,100.0,1.0,,30,0
BI6536,Bison,66.7,1.0,,30,0
BI6537,Bison,90.9,1.0,,30,0
DA1001,Deer,22.7,0.7586,3.0,30,0
DA1002,Deer,17.6,0.5862,3.0,30,0
DA1003,Deer,14.3,0.5,2.0,30,0
DA1009,Deer,100.0,0.92,2.0,37,0
DA1011,Deer,80.0,1.0,2.0,0,0
DA1012,Deer,100.0,0.9333,2.0,0,0
DA1013,Deer,75.0,0.8,2.0,0,0
DA1018,Deer,53.3,0.8333,2.0,37,0
DA1027,Deer,70.4,0.9,2.0,36,0
DA1030,Deer,14.3,0.5833,3.0,30,0
DA1031,Deer,73.3,0.75,2.0,30,0
DA1033,Deer,80.0,1.0,3.0,30,0
DA1041,Deer,60.0,0.6667,3.0,30,0
DA1042,Deer,100.0,0.8,3.0,30,0
DA1045,Deer,41.7,0.6667,3.0,0,0
DA1046,Deer,50.0,0.8,3.0,30,0
DA1047,Deer,26.7,0.6522,2.0,30,0
DA1048,Deer,25.0,0.5714,3.0,30,0
DA1049,Deer,33.3,0.7714,3.0,30,0
DA1050,Deer,75.0,0.8,2.0,0,0
DB0007,Deer,100.0,1.0,,0,0
DB0008,Deer,21.3,0.7101,,0,0
DB0009,Deer,100.0,1.0,,0,0
DB1000,Deer,100.0,1.0,3.0,30,0
DB1001,Deer,67.6,1.0,3.0,37,0
DB1002,Deer,100.0,1.0,2.0,0,0
DB1003,Deer,100.0,0.963,3.0,30,0
DB1004,Deer,93.2,0.9778,3.0,37,0
DB1005,Deer,90.0,1.0,2.0,30,0
DB1006,Deer,70.0,1.0,3.0,37,0
DB1007,Deer,100.0,1.0,3.0,30,0
DB1008,Deer,100.0,1.0,2.0,37,0
DB1009,Deer,100.0,1.0,3.0,0,0
DB1010,Deer,92.9,0.9655,3.0,37,0
DB1011,Deer,88.0,0.9615,3.0,30,0
DB1012,Deer,84.6,1.0,3.0,30,0
DB1013,Deer,50.0,1.0,3.0,30,0
DB1014,Deer,100.0,1.0,3.0,0,0
DB1015,Deer,86.4,0.9565,3.0,33,0
DB1016,Deer,56.9,1.0,3.0,0,0
DB1017,Deer,93.6,0.9766,3.0,0,0
DB1018,Deer,100.0,1.0,3.0,30,0
DB1019,Deer,95.0,1.0,3.0,30,0
DB1020,Deer,100.0,1.0,3.0,30,0
DB1022,Deer,88.9,1.0,3.0,0,0
DB1023,Deer,96.9,1.0,3.0,33,0
DB1024,Deer,85.4,0.9805,3.0,0,0
DB1025,Deer,86.0,0.9804,3.0,30,0
DB1026,Deer,100.0,1.0,3.0,0,0
DB1028,Deer,70.0,0.9091,3.0,0,0
DB1029,Deer,80.0,1.0,3.0,30,0
DB1030,Deer,100.0,1.0,3.0,36,0
DB1031,Deer,100.0,1.0,2.0,30,0
DB1032,Deer,66.7,1.0,3.0,30,0
DB1033,Deer,100.0,1.0,3.0,30,0
DB1034,Deer,53.3,1.0,3.0,37,0
DB1037,Deer,87.5,0.9412,3.0,0,0
DB1038,Deer,91.3,1.0,3.0,33,0
DB1039,Deer,100.0,1.0,3.0,3,0
DB1040,Deer,60.0,1.0,3.0,52,0
DB1041,Deer,63.3,1.0,3.0,0,0
DB1042,Deer,88.0,1.0,3.0,0,0
DB1043,Deer,46.7,1.0,3.0,37,0
DB1044,Deer,100.0,1.0,3.0,30,0
DB1045,Deer,100.0,1.0,2.0,30,0
DB1046,Deer,66.7,1.0,1.0,0,0
DB1047,Deer,100.0,1.0,2.0,33,0
DB1048,Deer,77.8,1.0,3.0,0,0
DB1053,Deer,80.0,1.0,3.0,21,0
DB1054,Deer,54.5,0.9167,3.0,9,0
DB1055,Deer,66.7,1.0,3.0,0,0
DB1056,Deer,50.0,1.0,,0,0
DB1058,Deer,37.0,0.9643,3.0,37,0
DB1065,Deer,80.0,1.0,3.0,0,0
DB1073,Deer,88.9,1.0,3.0,37,0
DB1074,Deer,55.6,1.0,3.0,37,0
DB1077,Deer,56.5,0.9583,3.0,0,0
DB1078,Deer,80.0,1.0,3.0,36,0
DB1079,Deer,82.5,1.0,3.0,0,0
DB1080,Deer,77.8,1.0,3.0,36,0
DB1081,Deer,55.6,1.0,3.0,38,0
DB1083,Deer,45.5,0.9167,3.0,37,0
DB1084,Deer,66.7,1.0,3.0,36,0
DB1085,Deer,66.7,0.9231,3.0,0,0
DB1086,Deer,80.0,0.8333,3.0,33,0
DB1087,Deer,66.7,0.9375,3.0,36,0
DB1090,Deer,100.0,1.0,3.0,0,0
DB1091,Deer,60.0,1.0,3.0,0,0
DB1100,Deer,81.8,1.0,3.0,36,0
DB1101,Deer,60.0,1.0,3.0,36,0
DB1103,Deer,37.5,1.0,3.0,36,0
DB1105,Deer,83.3,1.0,3.0,36,0
DB1106,Deer,16.7,0.9,3.0,0,0
DB1107,Deer,27.8,0.9,3.0,0,0
DB1108,Deer,54.5,1.0,3.0,0,0
DB1109,Deer,100.0,1.0,,0,0
DB1110,Deer,40.0,1.0,3.0,30,0
DB1111,Deer,100.0,1.0,3.0,0,0
DB1112,Deer,25.0,1.0,3.0,0,0
DB1113,Deer,100.0,0.9167,3.0,0,0
DB1114,Deer,33.3,1.0,3.0,0,0
DB1115,Deer,40.0,1.0,3.0,0,0
DB1116,Deer,50.0,1.0,2.0,0,0
DB1119,Deer,44.4,1.0,3.0,0,0
DB1120,Deer,80.0,1.0,3.0,0,0
DB1200,Deer,90.0,1.0,1.0,0,0
DB1201,Deer,100.0,1.0,2.0,0,0
DB1202,Deer,50.0,0.6667,3.0,0,0
DB1203,Deer,100.0,1.0,3.0,0,0
DB1204,Deer,77.8,1.0,2.0,0,0
DB1205,Deer,50.0,1.0,2.0,0,0
DB1206,Deer,100.0,1.0,3.0,0,0
DB1207,Deer,66.7,1.0,3.0,0,0
DB1208,Deer,100.0,1.0,3.0,0,0
DB1209,Deer,80.0,1.0,3.0,0,0
DB1211,Deer,100.0,1.0,3.0,0,0
DB1212,Deer,100.0,1.0,3.0,0,0
DB1213,Deer,44.4,1.0,3.0,0,0
DB1215,Deer,60.0,1.0,3.0,0,0
DB1216,Deer,100.0,1.0,3.0,0,0
DB1217,Deer,92.3,1.0,3.0,0,0
DB1219,Deer,86.7,0.9375,3.0,0,0
DB1222,Deer,100.0,1.0,2.0,0,0
DB1224,Deer,90.0,1.0,3.0,0,0
DB1227,Deer,100.0,0.8125,3.0,0,0
DB1228,Deer,84.3,1.0,3.0,0,0
DB1229,Deer,90.0,1.0,3.0,0,0
DB1230,Deer,87.5,1.0,3.0,0,0
DB1231,Deer,90.0,1.0,3.0,0,0
DB1232,Deer,71.4,1.0,3.0,0,0
DB1233,Deer,77.5,1.0,3.0,0,0
DB1234,Deer,80.0,1.0,2.0,0,0
DB1236,Deer,100.0,1.0,3.0,0,0
DB1237,Deer,90.3,1.0,2.0,0,0
DB1238,Deer,76.9,1.0,3.0,0,0
DB1239,Deer,100.0,1.0,3.0,0,0
DB1240,Deer,50.0,0.8571,3.0,0,0
DB1241,Deer,100.0,1.0,3.0,0,0
DB1242,Deer,91.2,0.9808,3.0,0,0
DB1243,Deer,70.0,1.0,2.0,0,0
DB1244,Deer,71.4,0.7778,3.0,0,0
DB1245,Deer,80.0,1.0,3.0,0,0
DB1246,Deer,61.5,1.0,3.0,0,0
DB1248,Deer,90.0,1.0,2.0,0,0
DB1249,Deer,85.7,0.875,3.0,0,0
DB1250,Deer,66.7,1.0,3.0,0,0
DB1251,Deer,85.7,1.0,3.0,0,0
DB1252,Deer,100.0,0.9412,3.0,0,0
DB1253,Deer,100.0,1.0,2.0,0,0
DB1255,Deer,0.0,1.0,3.0,0,0
DB1256,Deer,72.3,1.0,3.0,0,0
DB1258,Deer,77.8,1.0,3.0,0,0
DB1259,Deer,87.5,1.0,3.0,0,0
DB1260,Deer,66.7,1.0,3.0,0,0
DB1261,Deer,60.0,1.0,3.0,0,0
DB1263,Deer,100.0,1.0,2.0,0,0
DB1264,Deer,100.0,1.0,3.0,0,0
DB1265,Deer,50.0,0.9091,3.0,0,0
DB1266,Deer,66.7,1.0,2.0,0,0
DB1269,Deer,100.0,1.0,2.0,0,0
DB1270,Deer,100.0,1.0,3.0,0,0
DB1271,Deer,75.0,1.0,3.0,0,0
DB1272,Deer,66.7,1.0,3.0,0,0
DB1273,Deer,73.9,0.9583,3.0,0,0
DB1274,Deer,85.7,1.0,2.0,0,0
DB1275,Deer,65.0,1.0,3.0,0,0
DB1277,Deer,100.0,1.0,3.0,0,0
DB1279,Deer,100.0,1.0,3.0,0,0
DB1280,Deer,90.0,1.0,3.0,0,0
DB1281,Deer,100.0,1.0,3.0,0,0
DB1282,Deer,93.3,0.9375,3.0,0,0
DB1283,Deer,72.7,0.9167,3.0,0,0
DB1285,Deer,50.0,0.8571,2.0,0,0
DB1286,Deer,75.0,1.0,3.0,0,0
DB1287,Deer,100.0,0.9,3.0,0,0
DB1288,Deer,100.0,1.0,3.0,0,0
DB1289,Deer,87.5,1.0,3.0,0,0
DB1290,Deer,100.0,1.0,3.0,0,0
DB1291,Deer,50.0,1.0,3.0,0,0
DB1292,Deer,100.0,1.0,3.0,0,0
DB1293,Deer,100.0,1.0,3.0,0,0
DB1294,Deer,75.0,1.0,3.0,0,0
DB1295,Deer,89.3,1.0,3.0,0,0
DB1298,Deer,80.0,0.625,3.0,0,0
DB1299,Deer,95.7,0.92,3.0,0,0
DB1300,Deer,50.0,1.0,2.0,0,0
DB1301,Deer,80.0,1.0,3.0,0,0
DB1303,Deer,80.0,1.0,3.0,0,0
DB1304,Deer,100.0,1.0,2.0,0,0
DB1305,Deer,60.0,1.0,3.0,0,0
DB1306,Deer,100.0,1.0,2.0,0,0
DB1308,Deer,92.9,1.0,3.0,0,0
DB1309,Deer,95.7,1.0,3.0,0,0
DB1310,Deer,90.0,1.0,3.0,0,0
DB1312,Deer,100.0,1.0,3.0,0,0
DB1317,Deer,70.0,1.0,3.0,0,0
DB1320,Deer,40.0,0.8333,3.0,0,0
DB1322,Deer,80.0,1.0,3.0,0,0
DB1323,Deer,100.0,1.0,3.0,0,0
DB1324,Deer,50.0,1.0,3.0,0,0
DB1325,Deer,57.1,1.0,3.0,0,0
DB1326,Deer,75.0,1.0,3.0,0,0
DB1327,Deer,71.4,1.0,3.0,0,0
DB1328,Deer,20.0,1.0,3.0,0,0
DB1330,Deer,100.0,1.0,2.0,0,0
DB1331,Deer,90.0,1.0,3.0,0,0
DB1332,Deer,60.0,0.9459,3.0,0,0
DB1333,Deer,31.3,1.0,3.0,0,0
DB1334,Deer,100.0,1.0,3.0,0,0
DB1335,Deer,100.0,1.0,3.0,0,0
DB1336,Deer,75.0,1.0,3.0,0,0
DB1337,Deer,0.0,1.0,3.0,0,0
DB1341,Deer,80.0,1.0,2.0,0,0
DB1342,Deer,100.0,1.0,3.0,0,0
DB1343,Deer,87.5,1.0,3.0,0,0
DB1344,Deer,100.0,1.0,3.0,0,0
DB1345,Deer,100.0,1.0,3.0,0,0
DB1347,Deer,66.7,1.0,3.0,0,0
DB1348,Deer,40.0,1.0,3.0,0,0
DB1349,Deer,76.0,1.0,3.0,0,0
DB1501,Deer,23.1,0.7604,,0,0
DB1502,Deer,15.8,0.811,,36,0
DB1503,Deer,21.4,0.8815,,0,0
DB1504,Deer,19.2,0.8401,,36,0
DB1506,Deer,32.0,0.9003,,0,0
DB1508,Deer,16.5,0.8381,,36,0
DB1509,Deer,48.3,0.8722,,38,0
DB1510,Deer,38.0,0.6329,,30,0
DB1511,Deer,19.6,0.8,,21,0
DB1512,Deer,29.9,0.7737,,30,0
DB1513,Deer,13.3,0.7589,,0,0
DB1514,Deer,19.9,0.7475,,9,0
DB1516,Deer,36.7,0.9253,,37,0
DB1517,Deer,26.5,0.8857,,37,0
DB1518,Deer,32.0,0.8791,,36,0
DB1519,Deer,25.6,0.9319,,0,0
DB1521,Deer,37.6,0.8655,,0,0
DB1522,Deer,39.4,0.8934,,33,0
DB1523,Deer,30.2,0.8686,,3,0
DB1524,Deer,17.2,0.8312,,52,0
DB1525,Deer,20.3,0.8651,,0,0
DB1526,Deer,18.1,0.7732,,36,0
DB1529,Deer,38.8,0.8843,,37,0
DB1531,Deer,33.8,0.8552,,0,0
DB1533,Deer,47.3,0.9008,,0,0
DB1534,Deer,45.3,0.9092,,36,0
DB1536,Deer,58.8,0.9397,,0,0
DB1538,Deer,25.5,0.8265,,36,0
DB1539,Deer,53.8,0.8761,,38,0
DB1540,Deer,76.0,0.9154,,30,0
DB1541,Deer,55.3,0.9537,,21,0
DB1542,Deer,53.5,0.8762,,30,0
DB1543,Deer,40.9,0.8609,,0,0
DB1544,Deer,37.5,0.8609,,9,0
DB1546,Deer,60.3,0.9379,,37,0
DB1547,Deer,38.9,0.8914,,37,0
DB1549,Deer,52.6,0.8849,,0,0
DB1551,Deer,51.4,0.8767,,0,0
DB1552,Deer,78.3,0.9326,,33,0
DB1553,Deer,63.1,0.8849,,3,0
DB1554,Deer,43.3,0.9608,,52,0
DB1555,Deer,42.8,0.9008,,0,0
DB1556,Deer,28.2,0.8436,,36,0
DB1559,Deer,62.2,0.937,,37,0
DB1561,Deer,24.1,0.8124,,0,0
DB1563,Deer,29.1,0.8871,,0,0
DB1564,Deer,21.7,0.8596,,36,0
DB1566,Deer,38.2,0.8997,,0,0
DB1568,Deer,21.9,0.7656,,36,0
DB1569,Deer,53.7,0.8308,,38,0
DB1570,Deer,62.0,0.8679,,30,0
DB1571,Deer,28.6,0.875,,21,0
DB1572,Deer,24.9,0.8622,,30,0
DB1573,Deer,23.2,0.8039,,0,0
DB1574,Deer,21.2,0.8376,,9,0
DB1576,Deer,40.8,0.8987,,37,0
DB1577,Deer,32.6,0.8858,,37,0
DB1579,Deer,42.5,0.8732,,0,0
DB1581,Deer,44.5,0.8522,,0,0
DB1582,Deer,62.5,0.8932,,33,0
DB1583,Deer,43.6,0.8908,,3,0
DB1584,Deer,27.4,0.9605,,52,0
DB1585,Deer,27.5,0.8604,,0,0
DB1586,Deer,19.7,0.8388,,36,0
DB1589,Deer,43.7,0.865,,37,0
DB1591,Deer,48.6,0.8613,,0,0
DB1592,Deer,19.6,0.8326,,36,0
DB1593,Deer,36.5,0.808,,30,0
DB1594,Deer,53.4,0.8766,,37,0
DB1595,Deer,35.4,0.8891,,37,0
DB1596,Deer,49.7,0.9095,,0,0
DB1597,Deer,49.3,0.8953,,37,0
DB1598,Deer,31.0,0.8419,,0,0
DB1599,Deer,43.0,0.8331,,36,0
DB1600,Deer,18.8,0.8381,,36,0
DB1601,Deer,32.0,0.7506,,36,0
DB1602,Deer,25.3,0.8123,,36,0
DB1603,Deer,32.7,0.8226,,36,0
DB1604,Deer,15.5,0.7556,,36,0
DB1605,Deer,23.7,0.7611,,36,0
DB1606,Deer,7.4,0.7658,,36,0
DB1607,Deer,30.0,0.8217,,36,0
DB1608,Deer,13.9,0.724,,36,0
DB1609,Deer,20.8,0.6997,,36,0
DB1610,Deer,12.1,0.8232,,36,0
DB1611,Deer,29.5,0.8716,,30,0
DB1612,Deer,33.8,0.8958,,30,0
DB1613,Deer,49.9,0.9339,,30,0
DB1614,Deer,28.2,0.9341,,0,0
DB1615,Deer,39.2,0.8876,,0,0
DB1616,Deer,51.8,0.965,,0,0
DB1617,Deer,38.2,0.8088,,0,0
DB1618,Deer,22.2,0.8308,,0,0
DB1619,Deer,23.2,0.8333,,0,0
DB1620,Deer,27.1,0.8333,,0,0
DB1621,Deer,33.4,0.8857,,0,0
DB1622,Deer,47.1,0.8994,,0,0
DB1623,Deer,25.8,0.8564,,0,0
DB1624,Deer,22.5,0.9105,,0,0
DB1625,Deer,37.0,0.9002,,0,0
DB1627,Deer,27.7,0.8862,,36,0
DB1628,Deer,25.9,0.781,,36,0
DB1629,Deer,40.9,0.9127,,36,0
DB1630,Deer,32.4,0.8911,,36,0
DB1631,Deer,28.3,0.8141,,0,0
DB1770,Deer,37.2,0.9398,,0,0
DB1771,Deer,23.1,0.9461,,36,0
DB1772,Deer,39.2,0.9653,,0,0
DB1773,Deer,39.6,0.9234,,36,0
DB1774,Deer,0.0,1.0,,36,0
DB1775,Deer,43.3,0.9759,,0,0
DB1777,Deer,33.3,0.9231,,36,0
DB1778,Deer,47.7,0.9256,,38,0
DB1779,Deer,56.4,0.7534,,30,0
DB1780,Deer,57.4,0.9592,,21,0
DB1781,Deer,40.4,0.9571,,30,0
DB1782,Deer,31.5,0.9338,,0,0
DB1783,Deer,30.0,0.96,,9,0
DB1785,Deer,40.4,0.9463,,37,0
DB1786,Deer,45.1,0.9505,,37,0
DB1787,Deer,23.5,0.9472,,36,0
DB1788,Deer,39.6,0.9613,,0,0
DB1790,Deer,32.1,0.9205,,0,0
DB1791,Deer,47.9,0.9172,,33,0
DB1792,Deer,37.1,0.9264,,3,0
DB1793,Deer,31.4,0.9623,,52,0
DB1794,Deer,32.6,0.9492,,0,0
DB1795,Deer,33.3,0.9266,,36,0
DB1798,Deer,46.9,0.9361,,37,0
DB1799,Deer,28.3,0.9787,,36,0
DB1800,Deer,34.0,0.9626,,36,0
DB1801,Deer,13.6,0.88,,36,0
DB1802,Deer,32.8,0.9469,,30,0
DB1803,Deer,27.8,1.0,,0,0
DB1804,Deer,30.7,0.9007,,0,0
